ele,state,pollster_sponsor,dates,sample,moe,d,r
2020,Nat.,result,,,,50.8,47.5
2020,Nat.,Economist/YouGov,10/31 - 11/2,1363 LV,3.3,53,43
2020,Nat.,IBD/TIPP*,10/29 - 11/2,1212 LV,3.2,50,46
2020,Nat.,Reuters/Ipsos,10/29 - 11/2,914 LV,3.7,52,45
2020,Nat.,CNBC/Change Research (D),10/29 - 11/1,1880 LV,2.3,52,42
2020,Nat.,Rasmussen Reports,10/28 - 11/1,1500 LV,2.5,48,47
2020,Nat.,Quinnipiac,10/28 - 11/1,1516 LV,2.5,50,39
2020,Nat.,JTN/RMG Research*,10/29 - 10/31,1200 LV,2.8,51,44
2020,Nat.,NBC News/Wall St. Jrnl,10/29 - 10/31,1000 RV,3.4,52,42
2020,Nat.,SurveyUSA,10/29 - 10/31,1265 LV,3.2,52,44
2020,Nat.,FOX News,10/27 - 10/29,1246 LV,2.5,52,44
2020,Nat.,Harvard-Harris,10/27 - 10/28,,,54,46
2020,Nat.,The Hill/HarrisX,10/25 - 10/28,2359 LV,2,49,45
2020,Nat.,Emerson,10/25 - 10/26,1121 LV,2.8,50,45
2020,FL,result,,,,47.9,51.2
2020,FL,FOX 35/InsiderAdvantage*,11/2 - 11/2,400 LV,4.4,47,48
2020,FL,Trafalgar Group (R)*,10/31 - 11/2,1003 LV,2.9,47,49
2020,FL,CNBC/Change Research (D),10/29 - 11/1,806 LV,--,51,48
2020,FL,Susquehanna*,10/29 - 11/1,400 LV,4.9,46,47
2020,FL,Rasmussen Reports,10/29 - 10/31,800 LV,3.5,48,47
2020,FL,Quinnipiac,10/28 - 11/1,1657 LV,2.4,47,42
2020,FL,St. Pete Polls,10/29 - 10/30,2758 LV,1.9,49,48
2020,NC,result,,,,48.7,50.1
2020,NC,InsiderAdvantage*,10/30 - 10/31,450 LV,4.6,48,44
2020,NC,CNBC/Change Research (D),10/29 - 11/1,473 LV,--,47,49
2020,NC,Emerson,10/29 - 10/30,855 LV,3.3,47,47
2020,NC,Reuters/Ipsos,10/27 - 11/1,707 LV,4,48,49
2020,NC,Rasmussen Reports,10/28 - 10/29,800 LV,3.5,48,47
2020,NC,Trafalgar Group (R)*,10/27 - 10/29,1082 LV,2.9,49,47
2020,NC,The Hill/HarrisX,10/26 - 10/29,901 LV,--,48,49
2020,NC,East Carolina U.,10/27 - 10/28,1103 LV,3.4,47,49
2020,MI,result,,,,50.6,47.9
2020,MI,Trafalgar Group (R)*,10/30 - 10/31,1033 LV,2.9,46,48
2020,MI,InsiderAdvantage*,10/30 - 10/31,500 LV,4.4,49,47
2020,MI,CNBC/Change Research (D),10/29 - 11/1,383 LV,--,51,44
2020,MI,Emerson,10/29 - 10/30,700 LV,3.4,52,45
2020,MI,Mitchell Research*,10/29 - 10/29,817 LV,3.4,52,45
2020,WI,result,,,,49.6,48.9
2020,WI,CNBC/Change Research (D),10/29 - 11/1,553 LV,--,53,45
2020,WI,Susquehanna*,10/29 - 10/31,450 LV,4.7,49,46
2020,WI,Emerson,10/29 - 10/30,751 LV,3.5,53,45
2020,WI,Reuters/Ipsos*,10/27 - 11/1,696 LV,4.2,53,43
2020,WI,NY Times/Siena*,10/26 - 10/30,1253 LV,3.2,52,41
2020,WI,Trafalgar Group (R)*,10/24 - 10/25,1082 LV,2.9,48,47
2020,WI,CNN*,10/23 - 10/30,873 LV,3.9,52,44
2020,WI,Marquette*,10/21 - 10/25,749 LV,4.4,48,43
2020,GA,result,,,,49.5,49.2
2020,GA,WSB-TV/Landmark*,11/1 - 11/1,500 LV,4.4,50,46
2020,GA,Trafalgar Group (R)*,10/31 - 11/2,1013 LV,2.9,50,45
2020,GA,InsiderAdvantage*,11/1 - 11/1,500 LV,4.4,48,46
2020,GA,Emerson,10/29 - 10/31,749 LV,3.5,49,48
2020,GA,PPP (D),10/27 - 10/28,661 LV,3.8,46,48
2020,GA,Monmouth*,10/23 - 10/27,504 LV,4.4,46,50
2020,AZ,result,,,,49.4,49.1
2020,AZ,NBC News/Marist,10/29 - 11/1,717 LV,4.5,48,48
2020,AZ,CNBC/Change Research (D),10/29 - 11/1,409 LV,--,50,47
2020,AZ,Reuters/Ipsos,10/27 - 11/1,610 LV,5,49,47
2020,AZ,Emerson,10/29 - 10/31,732 LV,3.6,48,46
2020,AZ,Rasmussen Reports,10/27 - 10/29,800 LV,3.5,45,49
2020,AZ,NY Times/Siena*,10/26 - 10/30,1252 LV,3,49,43
2020,AZ,Trafalgar Group (R)*,10/25 - 10/28,1002 LV,3,46,49
2020,OH,result,,,,45.2,53.4
2020,OH,Rasmussen Reports,10/31 - 11/1,800 LV,3.5,49,45
2020,OH,Trafalgar Group (R)*,10/30 - 10/31,1041 LV,2.9,49,44
2020,OH,Quinnipiac,10/28 - 11/1,1440 LV,2.6,43,47
2020,OH,Emerson,10/29 - 10/30,656 LV,3.8,48,49
2020,PA,result,,,,49.8,49
2020,PA,Susquehanna*,11/1 - 11/2,499 LV,4.3,48,49
2020,PA,Rasmussen Reports,10/31 - 11/1,800 LV,3.5,50,47
2020,PA,Trafalgar Group (R)*,10/30 - 10/31,1062 LV,2.9,46,48
2020,PA,NBC News/Marist,10/29 - 11/1,772 LV,4.4,51,46
2020,PA,InsiderAdvantage*,10/30 - 10/31,500 LV,4.4,47,49
2020,PA,CNBC/Change Research (D),10/29 - 11/1,699 LV,--,50,46
2020,NV,result,,,,50.2,47.5
2020,NV,Trafalgar Group (R)*,10/31 - 11/2,1008 LV,2.9,48,49
2020,NV,Emerson,10/29 - 10/31,720 LV,3.6,49,47
2020,NV,NY Times/Siena*,10/23 - 10/26,809 LV,3.8,49,43
2020,IA,result,,,,45,53.2
2020,IA,PPP (D),11/1 - 11/2,871 LV,--,48,49
2020,IA,InsiderAdvantage*,10/30 - 10/30,400 LV,4.9,48,46
2020,IA,Emerson,10/29 - 10/30,604 LV,3.9,47,46
2020,IA,Des Moines Register,10/26 - 10/29,814 LV,3.4,48,41
2020,IA,Quinnipiac,10/23 - 10/27,1225 LV,2.8,47,46
2020,TX,result,,,,46.4,52.2
2020,TX,Emerson,10/29 - 10/31,763 LV,3.5,49,49
2020,TX,UMass Lowell*,10/20 - 10/26,873 LV,4.2,48,47
2020,TX,NY Times/Siena*,10/20 - 10/25,802 LV,3.8,47,43
2020,TX,Quinnipiac,10/16 - 10/19,1145 LV,2.9,47,47
2016,Nat.,result,--,--,--,48.2,46.1
2016,Nat.,Bloomberg,11/4 - 11/6,799 LV,3.5,46,43
2016,Nat.,IBD/TIPP Tracking,11/4 - 11/7,1107 LV,3.1,43,42
2016,Nat.,Economist/YouGov,11/4 - 11/7,3669 LV,--,49,45
2016,Nat.,LA Times/USC Tracking,11/1 - 11/7,2935 LV,4.5,44,47
2016,Nat.,ABC/Wash Post Tracking,11/3 - 11/6,2220 LV,2.5,49,46
2016,Nat.,FOX News,11/3 - 11/6,1295 LV,2.5,48,44
2016,Nat.,Monmouth,11/3 - 11/6,748 LV,3.6,50,44
2016,Nat.,NBC News/Wall St. Jrnl,11/3 - 11/5,1282 LV,2.7,48,43
2016,Nat.,CBS News,11/2 - 11/6,1426 LV,3,47,43
2016,Nat.,Reuters/Ipsos,11/2 - 11/6,2196 LV,2.3,44,39
2016,FL,result,--,--,--,47.4,48.6
2016,FL,Trafalgar Group (R)*,11/6 - 11/6,1100 LV,2.9,46,50
2016,FL,Opinion Savvy,11/5 - 11/6,853 LV,3.4,48,46
2016,FL,Quinnipiac,11/3 - 11/6,884 LV,3.3,46,46
2016,FL,CBS News/YouGov,11/2 - 11/4,1188 LV,3.6,45,45
2016,FL,Remington Research (R)*,11/1 - 11/2,2352 LV,2,45,48
2016,FL,Gravis*,11/1 - 11/2,1220 RV,2.8,46,45
2016,FL,CNN/ORC,10/27 - 11/1,773 LV,3.5,50,49
2016,WI,result,--,--,--,46.5,47.2
2016,WI,Remington Research (R)*,11/1 - 11/2,2720 LV,1.9,49,41
2016,WI,Loras*,10/31 - 11/1,500 LV,4.4,44,38
2016,WI,Marquette*,10/26 - 10/31,1225 LV,3.5,46,40
2016,WI,Emerson*,10/26 - 10/27,400 LV,4.9,48,42
2016,MI,result,--,--,--,47,47.3
2016,MI,Trafalgar Group (R)*,11/6 - 11/6,1200 LV,2.8,47,49
2016,MI,Gravis*,11/1 - 11/4,1079 RV,3,46,41
2016,MI,FOX 2 Detroit/Mitchell,11/3 - 11/3,1007 LV,3.1,50,45
2016,MI,PPP (D),11/3 - 11/4,957 LV,3.2,50,44
2016,MI,Detroit Free Press*,11/1 - 11/3,600 LV,4,42,38
2016,NC,result,--,--,--,46.2,49.8
2016,NC,NY Times/Siena*,11/4 - 11/6,800 LV,3.5,44,44
2016,NC,Quinnipiac,11/3 - 11/6,870 LV,3.3,48,45
2016,NC,Gravis*,11/1 - 11/4,1250 RV,2.8,46,45
2016,NC,Trafalgar Group (R)*,10/27 - 11/1,1150,2.9,44,49
2016,NC,WRAL-TV/SurveyUSA,10/28 - 10/31,659 LV,3.9,44,51
2016,NC,CBS News/YouGov*,10/26 - 10/28,992 LV,4.1,48,45
2016,AZ,result,--,--,--,44.6,48.1
2016,AZ,NBC/WSJ/Marist,10/30 - 11/1,719 LV,3.7,41,46
2016,AZ,CNN/ORC,10/27 - 11/1,769 LV,3.5,46,51
2016,AZ,Emerson*,10/28 - 10/31,700 LV,3.6,43,47
2016,AZ,CBS News/YouGov*,10/26 - 10/28,994 LV,4.3,42,44
2016,GA,result,--,--,--,45.4,50.5
2016,GA,Landmark/Rosetta Stone*,11/6 - 11/6,1200 LV,2.8,46,49
2016,GA,Trafalgar Group (R),11/6 - 11/6,1250 LV,2.8,45,52
2016,GA,Opinion Savvy*,11/2 - 11/3,538 LV,4.2,45,49
2016,GA,NBC/WSJ/Marist,10/30 - 11/1,707 LV,3.7,46,47
2016,GA,Emerson*,10/29 - 10/31,650 LV,3.8,42,51
2016,OH,result,--,--,--,43.2,51.3
2016,OH,Emerson*,11/4 - 11/5,900 LV,3.2,39,46
2016,OH,CBS News/YouGov*,11/2 - 11/4,1188 LV,4.1,45,46
2016,OH,Columbus Dispatch*,10/27 - 11/5,1151 LV,2.9,48,47
2016,OH,Remington Research (R)*,11/1 - 11/2,2557 LV,1.9,44,45
2016,OH,Quinnipiac,10/27 - 11/1,589 LV,4,44,47
2016,TX,result,--,--,,43.2,52.2
2016,TX,Emerson*,10/31 - 11/1,700 LV,,35,49
2016,TX,NBC/WSJ/Marist,10/30 - 11/1,679 LV,,41,49
2016,TX,CBS 11/Dixie Strategies*,10/27 - 10/29,980 LV,,39,52
2016,PA,result,--,--,--,47.5,48.2
2016,PA,Trafalgar Group (R)*,11/3 - 11/5,1300 LV,2.7,47,48
2016,PA,Morning Call,10/30 - 11/4,405 LV,5.5,48,42
2016,PA,Harper (R)*,11/2 - 11/3,504 LV,4.4,46,46
2016,PA,Gravis*,11/1 - 11/2,1016 RV,3.1,47,45
2016,PA,Susquehanna*,10/31 - 11/1,681 LV,3.8,45,43
2016,PA,Monmouth*,10/29 - 11/1,403 LV,4.9,48,44
2016,IA,result,--,--,--,41.7,51.2
2016,IA,Des Moines Register*,11/1 - 11/4,800 LV,3.5,39,46
2016,IA,Emerson*,11/1 - 11/3,700 LV,3.6,41,44
2016,IA,Loras*,11/1 - 11/3,500 LV,4.4,44,43
2016,NV,result,--,--,--,47.9,45.5
2017,NV,Emerson*,11/4 - 11/5,600 LV,3.9,47,46
2018,NV,Gravis*,11/3 - 11/6,1158 LV,2.9,45,43
2019,NV,Remington Research (R),11/1 - 11/2,1793 LV,2.3,45,46
2020,NV,8 News NOW - Las Vegas,10/28 - 11/1,600 LV,4,45,45
2021,NV,CNN/ORC,10/27 - 11/1,790 LV,3.5,43,49
